City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Saint Anthony,US,2023-03-04 22:04:11,45.0205,-93.218,38.14,65,0,12.66
140,Saldanha,ZA,2023-03-04 22:04:11,-33.0117,17.9442,66.25,89,100,8.52
141,East London,ZA,2023-03-04 22:04:12,-33.0153,27.9116,72.7,86,20,9.37
142,Saint George,US,2023-03-04 21:56:56,37.1041,-113.5841,55.26,45,40,5.99
143,Faya,SA,2023-03-04 22:04:12,18.3851,42.4509,59.11,57,21,3.53
144,Crib Point,AU,2023-03-04 22:04:13,-38.35,145.2,78.58,94,5,6.29
145,Salta,AR,2023-03-04 22:04:13,-24.7859,-65.4117,77.59,85,75,3.44
146,Cidreira,BR,2023-03-04 22:04:14,-30.1811,-50.2056,73.8,92,55,4.23
147,Biltine,TD,2023-03-04 22:04:14,14.5333,20.9167,82.22,9,70,12.71
148,Alekseyevsk,RU,2023-03-04 22:04:15,57.8406,108.3492,15.57,87,100,12.73
149,Posse,BR,2023-03-04 22:01:59,-14.0931,-46.3694,76.01,47,1,5.12
150,Hilo,US,2023-03-04 21:59:36,19.7297,-155.09,78.28,81,75,9.22
151,Calabozo,VE,2023-03-04 22:04:16,8.9242,-67.4293,95.32,27,13,8.3
152,Lundazi,ZM,2023-03-04 22:04:16,-12.2929,33.1782,65.01,87,97,2.86
153,Victoria,HK,2023-03-04 22:02:09,22.2855,114.1577,64.45,71,0,10.0
154,San Juan,AR,2023-03-04 22:01:43,-31.5375,-68.5364,93.38,17,0,7.47
155,Coos Bay,US,2023-03-04 22:02:12,43.3665,-124.2179,46.24,88,75,16.11
156,Frankfort,ZA,2023-03-04 22:04:18,-27.2667,28.4833,58.93,77,1,5.53
157,Barrow,US,2023-03-04 21:59:14,71.2906,-156.7887,-30.98,96,40,9.22
158,Avarua,CK,2023-03-04 22:04:19,-21.2078,-159.775,86.05,70,40,13.8
159,Khandyga,RU,2023-03-04 22:04:19,62.6667,135.6,-5.24,100,100,1.41
160,Severo-Kurilsk,RU,2023-03-04 22:04:20,50.6789,156.125,21.58,72,99,17.81
161,Boende,CD,2023-03-04 22:04:20,-0.2167,20.8667,79.86,60,100,2.42
162,Popondetta,PG,2023-03-04 22:04:21,-8.7537,148.2534,77.99,81,100,1.7
163,Zyryanka,RU,2023-03-04 22:04:21,65.75,150.85,-40.34,98,53,1.45
164,Maarianhamina,AX,2023-03-04 22:04:22,60.0973,19.9348,33.82,69,98,11.5
165,Marrakesh,MA,2023-03-04 22:04:17,31.6315,-8.0083,62.67,67,0,4.61
166,Ladario,BR,2023-03-04 22:03:24,-19.0047,-57.6017,80.89,78,20,4.61
167,Komsomolskiy,UZ,2023-03-04 22:04:23,40.4272,71.7189,45.32,76,27,2.3
168,Mocuba,MZ,2023-03-04 22:04:24,-16.8392,36.9856,73.74,91,100,3.33
169,Padang,ID,2023-03-04 22:04:24,-0.9492,100.3543,75.54,85,79,5.06
170,Los Llanos De Aridane,ES,2023-03-04 22:04:26,28.6585,-17.9182,64.15,88,75,3.44
171,Yellowknife,CA,2023-03-04 21:59:23,62.456,-114.3525,-10.68,64,20,12.66
172,La Peca,PE,2023-03-04 22:04:27,-5.6111,-78.435,78.37,64,97,5.57
173,Sadovoye,RU,2023-03-04 22:04:28,47.7764,44.5089,35.65,83,81,16.62
174,Coihaique,CL,2023-03-04 22:04:28,-45.5752,-72.0662,52.41,87,100,9.22
175,Nome,US,2023-03-04 22:04:29,64.5011,-165.4064,17.67,93,100,17.27
176,Constantine,DZ,2023-03-04 22:02:23,36.365,6.6147,38.7,93,71,3.83
177,Mogadishu,SO,2023-03-04 22:00:12,2.0371,45.3438,78.35,86,23,19.71
178,Monrovia,LR,2023-03-04 22:00:15,6.3005,-10.7969,80.37,88,5,7.09
179,Cockburn Town,TC,2023-03-04 22:01:06,21.4612,-71.1419,80.56,65,40,14.97
180,Havoysund,NO,2023-03-04 22:05:31,70.9963,24.6622,26.83,90,100,28.43
181,Valparaiso,CL,2023-03-04 22:02:32,-33.0393,-71.6273,82.63,47,0,9.22
182,Vila,PT,2023-03-04 22:05:31,42.0304,-8.1588,38.28,64,2,3.44
183,Maniitsoq,GL,2023-03-04 22:05:32,65.4167,-52.9,30.07,82,7,7.07
184,Lodwar,KE,2023-03-04 22:05:32,3.1191,35.5973,87.57,31,75,14.03
185,Zambezi,ZM,2023-03-04 22:05:33,-13.5432,23.1047,67.39,89,99,4.16
186,Udachnyy,RU,2023-03-04 22:03:58,66.4167,112.4,-1.62,93,100,13.09
187,Saint Augustine,US,2023-03-04 22:00:42,29.8947,-81.3145,79.07,88,100,3.44
188,Araouane,ML,2023-03-04 22:05:34,18.9048,-3.5265,78.33,9,86,7.45
189,Hasaki,JP,2023-03-04 22:05:34,35.7333,140.8333,43.21,62,100,15.48
190,Laguna,US,2023-03-04 22:05:35,38.421,-121.4238,53.58,77,75,18.41
191,Bandarbeyla,SO,2023-03-04 22:05:35,9.4942,50.8122,76.57,78,3,14.58
192,Panuco,MX,2023-03-04 22:05:36,22.05,-98.1667,77.18,42,26,14.67
193,Bac Lieu,VN,2023-03-04 22:05:37,9.285,105.7244,74.98,76,80,18.3
194,Castro,BR,2023-03-04 21:59:27,-24.7911,-50.0119,66.78,96,74,4.07
195,Ritchie,ZA,2023-03-04 22:05:37,-29.038,24.6028,70.81,46,13,13.09
